551027.506969962,199931.925167493
551027.395982046,199931.897776194
551027.29498316,199931.858898686
551027.193984235,199931.824438982
551027.090765556,199931.789095696
551026.981997434,199931.75817017
551026.879888615,199931.725477574
551026.775560076,199931.687483597
551026.674561153,199931.653023886
551026.566902979,199931.614146317
551026.458134959,199931.570850933
551026.353806399,199931.535507633
551026.243928425,199931.501047848
551026.135160399,199931.458636021
551026.024172524,199931.426826906
551025.918734098,199931.38971647
551025.806636406,199931.349955294
551025.695648536,199931.317262618
551025.57467175,199931.282802735
551025.469233326,199931.245692296
551025.350476333,199931.207698184
551025.238378678,199931.1635192
551025.12517115,199931.118456644
551025.009743771,199931.0839968
551024.893206542,199931.046002702
551024.776669207,199931.020378461
551024.659022141,199930.977082985
551024.55136397,199930.938205396
551024.424837792,199930.901978335
551024.303861031,199930.864867756
551024.193983038,199930.833058637
551024.075226163,199930.780927533
551023.953139425,199930.755303238
551023.845481254,199930.716425647
551023.734493395,199930.682849392
551023.620175952,199930.642204614
551023.503638701,199930.606861189
551023.392650829,199930.575052055
551023.269454231,199930.546777061
551023.148477442,199930.51320072
551023.029720333,199930.489343569
551022.917622593,199930.455767298
551022.797755731,199930.416889593
551022.672339408,199930.384196767
551022.563571322,199930.349736963
551022.454803228,199930.316160716
551022.327167172,199930.279933625
551022.219508989,199930.242823142
551022.104081689,199930.199527659
551021.973115939,199930.169485468
551021.858798499,199930.128840679
551021.732272244,199930.10233277
551021.616844862,199930.068756461
551021.486989082,199930.028111536
551021.373781458,199929.995418804
551021.256134448,199929.945938364
551021.136267521,199929.915012701
551021.010851156,199929.887621233
551020.89653373,199929.845209311
551020.776666751,199929.820468573
551020.665679032,199929.770988186
551020.536933046,199929.740945999
551020.412626584,199929.710903852
551020.292759912,199929.649937084
551020.169563273,199929.626963435
551020.043037246,199929.573948661
551019.908741973,199929.52976944
551019.778886188,199929.49000806
551019.650140257,199929.453780935
551019.511405587,199929.39458112
551019.385989216,199929.368073201
551019.21284818,199929.314174462
551019.06190456,199929.285015636
551018.912070545,199929.288548607
551018.796643144,199929.257622962
551018.703413726,199929.185170098
551018.549140509,199929.150709871
551018.417065025,199929.103879965
551018.271670948,199929.058817068
551018.140705732,199928.966925514
551017.998641461,199928.903307842
551017.837708562,199928.91479277
551017.696754045,199928.866195656
551017.562458943,199928.802578045
551017.398196719,199928.77695334
551017.257242315,199928.715102791
551017.115177939,199928.663854976
551017.003080102,199928.642648527
551016.853246678,199928.577263646
551016.707852575,199928.535734982
551016.532491942,199928.463281384
551016.36822975,199928.43412242
551016.201747842,199928.399662064
551016.050804584,199928.328975793
551015.892091906,199928.287447003
551015.731159473,199928.245034631
551015.56689745,199928.196437294
551015.414844122,199928.147840058
551015.260570925,199928.111612674
551015.10629769,199928.0798031
551014.957573518,199928.087753871
551014.799970723,199928.04622508
551014.64569768,199927.992326447
551014.528050997,199927.906619887
551014.373778009,199927.846536312
551014.19619745,199927.79352103
551014.006408313,199927.727252204
551013.829937767,199927.659216368
551013.667895318,199927.632708086
551013.514732822,199927.502823081
551013.211736807,199927.319923017
551013.098529992,199927.196223287
551012.929828473,199927.144975186
551012.768896217,199927.083124401
551012.624612237,199927.015088824
551012.491427359,199926.914361531
551012.440374958,199926.671381394
551012.2605747,199926.612181118
551012.09187284,199926.599809752
551011.958687812,199926.516753697
551011.794425807,199926.467272739
551011.634603423,199926.407189069
551011.496978586,199926.355941217
551011.324947328,199926.316179374
551011.170673944,199926.302041004
551011.025279603,199926.288786275
551010.814402214,199926.280832339
551010.674557784,199926.211029644
551010.506966042,199926.172151397
551010.36490177,199926.111184307
551010.198419864,199926.077607442
551010.051916004,199926.02370881
551009.893203386,199925.976878569
551009.735600659,199925.929164775
551009.570228823,199925.874382406
551009.405966928,199925.813415106
551009.271671668,199925.770119328
551009.108519693,199925.704734218
551008.939818138,199925.658787439
551008.787765024,199925.588101047
551008.622393122,199925.541270734
551008.481438855,199925.467050184
551008.307187853,199925.425521162
551008.077442944,199925.36632038
551007.919840425,199925.295633925
551007.722281798,199925.267358131
551007.561349359,199925.227596348
551007.353801689,199925.211690347
551007.146254353,199925.158674695
551007.021948055,199925.112728295
551006.803301873,199925.063246789
551006.634600338,199925.015532857
551006.451470456,199924.955448911
551006.292758222,199924.867091162
551006.128496612,199924.775199108
551005.959795031,199924.732786547
551005.774445437,199924.667401191
551005.604634182,199924.602015969
551005.43038338,199924.539281398
551005.24614367,199924.473896042
551005.071892827,199924.415579282
551004.882103598,199924.362563756
551004.710072318,199924.326336094
551004.520283211,199924.260067114
551004.34381256,199924.207051704
551004.167341836,199924.161988361
551003.984211969,199924.101020815
551003.801082039,199924.047121773
551003.632380826,199923.964948831
551003.469228623,199923.926070544
551003.2905383,199923.8633359
551003.115177767,199923.784697144
551002.932047953,199923.718428199
551002.746698344,199923.655693488
551002.570227802,199923.591191725
551002.382658513,199923.519621351
551002.222836071,199923.468373193
551002.054134636,199923.410940004
551001.866565307,199923.343787438
551001.700083716,199923.27751863
551001.514734038,199923.222735969
551001.34381284,199923.165302751
551001.168452161,199923.103451669
551000.997530948,199923.047785573
551000.814400943,199923.002722127
551000.635710555,199922.947939518
551000.465899143,199922.90110906
551000.296087739,199922.853395042
551000.119617165,199922.793311062
550999.942036618,199922.742946273
550999.758906838,199922.67402659
550999.604633873,199922.615709941
550999.417064387,199922.566228615
550999.239484031,199922.495541846
550999.060793564,199922.449594855
550998.902080977,199922.401880918
550998.724500499,199922.344447606
550998.540260684,199922.292315607
550998.356020927,199922.233998659
550998.189539578,199922.142990008
